LMNA,0,106,7,25,23,20,22,94,56,38,16,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TNNT2,0,46,92,82,32,32,34,70,37,89,152,123,303,306,181,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SCNSA,0,15,9,9,12,15,5,1,0,17,3,2,4,1,4,7,1,5,8,5,7,0,13,14,20,14,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MYBPC3,0,3,1,2,1,1,2,5,0,0,4,16,8,15,10,22,21,8,0,6,5,1,5,5,43,48,4,11,4,5,7,1,0,0,NULL,NULL,NULL,NULL,NULL
MYH6,62,211,26,97,128,196,15,175,92,53,2,24,41,141,139,126,101,152,36,62,144,109,243,146,147,97,158,20,34,30,54,57,124,193,72,150,67,0,0
MYH7,1,61,68,106,138,104,16,156,74,33,5,98,109,169,123,193,547,140,158,87,153,55,92,19,35,76,176,150,136,126,114,99,82,73,80,104,180,76,0
