LMNA,0,105,15,47,59,21,36,201,78,75,23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TNNT2,0,129,222,168,61,57,58,99,111,109,205,134,582,463,294,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SCNSA,0,15,8,10,23,8,8,2,0,4,8,3,6,3,3,6,0,11,18,3,26,1,19,15,59,35,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MYBPC3,0,3,0,0,7,4,2,9,0,4,3,7,6,29,7,17,21,10,1,12,5,3,4,13,65,76,11,47,6,1,13,0,0,0,NULL,NULL,NULL,NULL,NULL
MYH6,95,341,193,128,182,169,12,280,123,86,1,16,77,177,203,213,94,125,24,88,140,103,220,77,199,135,232,48,34,24,84,50,150,182,67,94,71,0,0
MYH7,4,108,126,140,240,170,27,291,119,37,6,111,127,266,147,218,585,119,123,103,152,29,63,25,22,91,191,190,145,123,114,98,60,49,88,94,189,124,0
