LMNA,0,179,21,42,60,27,40,143,71,86,18,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TNNT2,0,142,174,154,48,63,70,146,127,185,212,151,625,605,331,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SCNSA,0,33,27,10,25,23,13,3,2,32,8,13,15,10,7,16,2,24,14,8,23,5,38,21,48,26,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MYBPC3,0,9,2,3,9,9,7,16,0,4,6,43,6,34,8,27,21,24,6,13,8,6,8,15,101,77,22,45,13,3,11,0,0,1,NULL,NULL,NULL,NULL,NULL
MYH6,74,335,29,151,195,332,43,304,168,126,7,25,75,200,202,254,176,237,56,128,259,168,313,154,146,171,199,47,44,50,105,75,163,188,85,155,75,0,0
MYH7,4,145,134,199,292,240,57,297,164,80,18,138,161,241,270,388,678,168,141,160,221,53,85,37,75,171,359,211,206,132,106,116,85,117,136,221,340,178,0
