LMNA,0,61,2,6,9,2,16,106,47,73,22,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TNNT2,0,36,53,71,22,31,11,31,23,78,87,38,359,385,162,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SCNSA,0,10,3,6,12,13,1,1,2,16,4,1,9,3,12,2,0,3,4,3,8,0,5,8,22,13,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MYBPC3,NULL,1,0,0,1,1,3,11,0,3,1,3,5,22,20,16,25,17,0,2,2,0,5,5,70,57,4,22,3,1,6,2,0,4,NULL,NULL,NULL
MYH6,67,188,11,107,114,135,14,190,76,45,0,17,35,88,171,155,73,55,26,42,41,36,76,30,118,236,230,18,9,25,18,23,70,54,50,33,47
MYH7,5,22,26,137,160,103,17,168,81,16,4,44,48,135,90,232,772,195,118,47,41,12,37,20,16,84,145,80,58,46,80,78,36,38,17,19,31
