LMNA,0,123,16,37,40,26,27,117,62,92,23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TNNT2,0,135,187,172,62,54,59,121,117,162,158,143,466,508,278,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SCNSA,0,20,17,7,22,25,9,1,1,15,6,2,9,9,12,19,1,13,17,6,11,4,19,14,33,30,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MYBPC3,0,5,0,2,4,0,1,10,1,1,2,17,10,22,9,12,16,17,4,5,5,1,8,9,52,65,11,44,6,2,2,0,1,0,NULL,NULL,NULL,NULL,NULL
MYH6,44,242,28,130,151,239,15,233,144,111,2,17,74,202,129,188,158,166,65,89,142,151,278,134,171,118,177,20,32,32,55,74,158,146,67,111,50,0,0
MYH7,3,86,125,195,257,199,19,233,150,49,11,85,138,228,261,339,798,226,174,111,238,47,119,42,46,127,247,182,207,119,122,90,89,70,102,146,281,138,0
