LMNA,0,163,17,49,54,39,34,223,83,100,23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TNNT2,0,134,246,192,56,81,94,206,126,172,274,175,745,678,308,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SCNSA,0,16,18,4,21,17,11,0,4,15,6,5,12,13,5,24,0,31,14,12,21,4,21,30,79,44,9,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MYBPC3,0,1,1,2,7,0,6,9,1,2,6,18,3,36,13,13,18,17,7,9,9,10,7,8,87,67,7,41,6,3,10,0,1,3,NULL,NULL,NULL,NULL,NULL
MYH6,108,352,53,177,240,375,33,366,179,146,5,28,98,260,176,223,187,213,99,152,179,143,361,180,176,138,198,60,38,56,121,114,227,238,94,139,115,0,0
MYH7,4,135,163,265,246,223,21,322,149,68,10,116,190,324,324,351,710,214,196,163,249,62,113,44,64,150,290,272,253,162,147,131,105,76,141,191,332,132,0
